# args:
# env:
#
# The four mailboxes: one panel over the inbox, the archive, sent and spam.
#
# Assertions are the clicks, and each list is asked for a row only its own
# folder holds — so a label that resolves is proof the right folder answered.
# Exactly one mail list is open at a time (the boot inbox is closed first, and
# each mailbox is closed before the next opens): two of them on screen would
# make "click the CI conversation" mean either, and the run would stop
# asserting anything.

wait 900

# Boot is the inbox, focused. Close it: the rest of this run is about the
# other three.
key cmd+w
wait 600
shot m0-inbox-closed

# The launcher offers all four as roots. The archive: the five CI runs the
# inbox's GitHub mail continues are filed there, so the conversation has a row
# here — and clicking it previews the archived mail beside it.
key cmd 2
wait 400
type "archive"
wait 500
shot m1-launcher-archive
key enter
wait 800
shot m2-archive
click "[stelaxis] CI"
wait 700
shot m3-archive-previews

# Its bar carries no `archive`: the mail is already out of the inbox. Space
# marks the row under the cursor and the batch verbs come up — `delete` and
# the two that close every bar. `clear` resolves only while the bar is up.
key space
wait 500
shot m4-archive-marked
click "clear"
wait 500
key cmd+w
wait 600

# Sent: my own letter to Max, and nothing else. Its row is the conversation
# read from the other end — the reply that answered it lives in the inbox,
# which is closed, so this row can only be the sent one.
key cmd 2
wait 400
type "sent"
wait 500
key enter
wait 800
shot m5-sent
click "superapp panel model"
wait 700
shot m6-sent-previews
key cmd+w
wait 600

# Spam: its own three, and the same grammar in the filter. `@unread` keeps the
# two that arrived unread; clearing it brings the third back, which is how the
# run knows the filter really let go.
key cmd 2
wait 400
type "spam"
wait 500
key enter
wait 800
shot m7-spam
key /
wait 300
type "@unread"
wait 500
key esc
wait 500
shot m8-spam-unread
click "Your 4.2 BTC withdrawal"
wait 700
shot m9-spam-filtered
key /
wait 200
key cmd+a
key backspace
wait 300
key esc
wait 500
click "Invitation: keynote speaker"
wait 700
shot m10-spam-whole

# The verb the junk has that no other list wears: mark a row and the bar
# offers `not spam`, which puts the conversation back in the inbox. One press
# back brings the mail and the mark that filed it together, because the walk
# the batch left behind is part of the same node — and `clear`, which is up
# only while something is marked, is the proof.
click "Your 4.2 BTC withdrawal"
wait 700
key space
wait 500
shot m11-spam-marked
click "not spam 1"
wait 900
shot m12-not-spam

# The cursor stood still and the row under it left, so the preview beside the
# list is the conversation that took its place: this who line is the reader's
# own, and pressing it folds a letter rather than acting, so the press below
# is still the first one after the batch.
click "IT Helpdesk · aug 29 22:08"
wait 500
key cmd+z
wait 900
click "clear"
wait 700
shot m13-spam-restored
key cmd+w
wait 600

# The inbox is untouched by any of it, and its bar is the one that still wears
# `archive`: mark a row, file the batch, take it back.
key cmd 2
wait 400
type "inbox"
wait 500
key enter
wait 800
click "Q3 infra"
wait 700
key space
wait 500
shot m14-inbox-marked
click "archive 1"
wait 900
shot m15-inbox-archived
# One press: the filing and the walk it left behind are one node, so the
# mails and the marks come back together — and `clear`, which is up only
# while something is marked, is the proof.
key cmd+z
wait 900
click "clear"
wait 700
shot m16-undone
quit
